Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Strand Elongation Involved in DNA Replication (GO:0006271)	7/12	3.592067735859937E-4	0.13695574621996887	0	0	8.922095167834748	70.76660034858796	RFC3;PCNA;RFC4;MCM7;POLE3;MCM4;LRIG3
Protein Localization to Chromosome (GO:0034502)	16/49	5.096450783148994E-4	0.17812095487105734	0	0	3.0951708050153646	23.46695362688422	H2AX;MDC1;FAM47E-STBD1;PARP1;BOD1;ZMYND8;PLK1;SIRT6;LEMD2;TERF2;MMS22L;MRNIP;POLR1B;SPNS1;TP53BP1;RHNO1
Chromatin Remodeling (GO:0006338)	55/262	5.925459060619994E-4	0.1911644253864635	0	0	1.7036559327045702	12.660007292409684	FOXA1;LIN54;KDM5B;KDM5C;KDM1A;CHD8;PSIP1;RSF1;KAT5;ZNF83;VPS72;CHEK1;UIMC1;RUVBL1;PRMT6;SS18;PRMT7;PRMT2;DTX3L;MSL2;SIRT6;VRK1;HCFC2;BAZ1B;ARID1A;SIRT1;UCHL5;HCFC1;RNF168;CFDP1;MTF2;HDGFL2;GLYR1;HDAC2;SMARCD2;SRCAP;DDX23;ZBTB1;BAZ2A;HDAC6;HDAC7;TFPT;RBBP4;BRD9;DMAP1;MTA2;NPM1;PCGF6;INO80;PML;GATAD2A;POLE3;HDGF;TRIP12;ZNF335
Positive Regulation of DNA Biosynthetic Process (GO:2000573)	14/41	6.791004355200832E-4	0.20343908761223062	0	0	3.308815472277011	24.136953622610633	CCT2;HSP90AA1;RFC3;PCNA;RFC4;RFC2;DSCC1;CHTF18;POLG2;DKC1;CTNNB1;CCT8;CCT7;HNRNPA1
Cytoplasmic Translation (GO:0002181)	26/101	8.033833278538933E-4	0.2105868548137018	0	0	2.2158593363051016	15.791717286599718	RPL30;RPL31;RPL36A;RPL10A;MRPL13;RPL6;RPSA2;RPS14;RPS16;RPL18A;RPL37;EIF2B1;EIF2B5;EIF2B3;EIF2B2;RPL21;RPS8;VTA1;RPL22;RPL13A;RPS3A;RPS26;SARS1;RPL37A;RPL29;RSL24D1
Recombinational Repair (GO:0000725)	26/101	8.033833278538933E-4	0.2105868548137018	0	0	2.2158593363051016	15.791717286599718	EXD2;AP5Z1;FBH1;ZMYND8;NUCKS1;BRCA2;ZFYVE26;RECQL5;KAT5;SFR1;POGZ;LRIG3;ZGRF1;NSMCE1;HUS1;INO80;PALB2;RAD52;MORF4L1;MMS22L;RAD51C;POLR1B;UBE2N;ERCC5;FAN1;RHNO1
DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	9/21	9.777038585170668E-4	0.24120529309532815	0	0	4.781284606866002	33.13575457831742	RNF168;DTX3L;KDM1A;KAT5;ZNF83;UIMC1;TRIP12;SIRT1;HDGFL2
Negative Regulation of ATP Metabolic Process (GO:1903579)	7/14	0.0012130737702286494	0.25018869028088253	0	0	6.372187384728882	42.786675614673285	FIS1;FLCN;TIGAR;NCOR1;PARP1;SIRT6;CBFA2T3
Negative Regulation of Transcription Elongation by RNA Polymerase II (GO:0034244)	7/14	0.0012130737702286494	0.25018869028088253	0	0	6.372187384728882	42.786675614673285	RNF168;TCERG1;RECQL5;PARP1;SIRT6;NELFA;VHL
Positive Regulation of Transferase Activity (GO:0051347)	13/39	0.001350636587970199	0.25018869028088253	0	0	3.1896487985212567	21.074581359663654	RFC3;PCNA;RFC4;UBE2I;RFC2;DSCC1;PLK1;CHTF18;DSTYK;PABPN1;POLG2;APOE;AGXT
Protein Acetylation (GO:0006473)	10/26	0.0014029621717774252	0.25018869028088253	0	0	3.9849519940915803	26.177824861875333	NAA60;KAT5;NAA20;DSCC1;SPHK1;NAT10;NAA16;ESCO2;SIRT1;CLOCK
Intracellular Protein Transport (GO:0006886)	64/326	0.0014049455974478342	0.25018869028088253	0	0	1.5665249630400893	10.288554818001408	STEEP1;C2CD5;NUP188;CSE1L;CLTC;SNX13;XPO6;XPO5;FAM53C;TMED3;AKT1;EIF2D;TMED7;TNPO1;SIL1;ARL5A;TNPO2;NUP214;SEC13;HSP90AA1;COG7;STRADA;PAM16;VPS13D;VPS37C;AP3B1;SIRT6;TIMM22;ARL4A;PICK1;TSNARE1;STAM2;VPS28;KPNB1;STXBP3;STX16;UNC93B1;HDAC6;GGA1;SNX27;BAG3;TPR;SYNDIG1;NUP88;SNX8;CTSA;DNAJC19;HSPA9;AKIRIN2;NPM1;AGK;SMURF1;SEC16A;STAT3;ASPSCR1;NUP153;RANBP6;WDR11;EHD1;IFT22;RAB14;SNX17;BCL3;VPS41
Negative Regulation of DNA-templated Transcription, Elongation (GO:0032785)	8/18	0.0014127491440637133	0.25018869028088253	0	0	5.098745387453874	33.45907735844271	RNF168;TCERG1;RECQL5;PARP1;SUPT4H1;SIRT6;NELFA;VHL
snRNA Metabolic Process (GO:0016073)	9/22	0.001456489211869323	0.25018869028088253	0	0	4.4132379248658316	28.826062612482687	ZCCHC8;INTS12;INTS14;USPL1;INTS1;SNAPC3;INTS2;INTS4;TUT1
Organelle Disassembly (GO:1903008)	14/44	0.0014913488929475592	0.25018869028088253	0	0	2.9774161735700195	19.377245594100902	GFM2;PTGES2;FAF2;TRIP4;MTIF2;VRK1;MTIF3;KLC1;HDAC6;KAT5;ASCC2;EIF2D;PLIN2;MAP4
Endoplasmic Reticulum Membrane Organization (GO:0090158)	6/11	0.0015669993650395575	0.25276905142215017	0	0	7.644690265486726	49.37394090156566	STEEP1;VCPIP1;ATL2;STX18;BNIP1;RTN4
mRNA Processing (GO:0006397)	47/226	0.0017373068536168242	0.26265349009558225	0	0	1.681292341286192	10.685317542710647	ZCCHC8;TCERG1;SF3B2;DHX8;CHD8;DDX23;DDX41;VIRMA;TBRG4;EFTUD2;PNN;SNRNP70;TRA2B;LEO1;PAPOLA;HNRNPA1;SRSF10;CMTR1;CTNNBL1;RBM5;RBM6;HNRNPA0;SRRM2;SF3A3;RNGTT;GPKOW;WTAP;METTL3;CENATAC;PRPF40B;MAGOHB;LSM5;CRNKL1;LSM2;GCFC2;MBLAC1;PRPF18;PRPF3;TUT1;GEMIN5;RBM42;SNRPE;SNRPA1;HNRNPH3;CBLL1;FRA10AC1;SNRPA
Retrograde Transport, Vesicle Recycling Within Golgi (GO:0000301)	5/8	0.0018078632459507663	0.26265349009558225	0	0	10.614940410369824	67.03982017667782	GOLGA8B;COG8;COG7;COG5;COG2
Ribosomal Small Subunit Biogenesis (GO:0042274)	22/85	0.0018161543187343553	0.26265349009558225	0	0	2.2303353586736376	14.075722336054953	WDR36;NOP14;NPM1;RPS8;KRR1;RIOK3;WDR3;NOL7;NAT10;RPS27L;RPS3A;MRPS7;RPSA2;RPS14;TRMT112;TBL3;RPS16;EXOSC10;BMS1;SURF6;MPHOSPH10;RIOK1
Regulation of Myeloid Cell Differentiation (GO:0045637)	10/27	0.001959596617535247	0.26734905285507493	0	0	3.7503258319575985	23.38334394630411	L3MBTL1;HSPA9;PRMT6;CNOT4;MEIS1;RBM15;ZBTB16;CTR9;LEO1;PTK2B
Nuclear Export (GO:0051168)	15/50	0.001990197512612753	0.26734905285507493	0	0	2.734580624702711	17.007782695132697	WASHC4;NUP214;RANBP2;UBE2I;NUP188;STRADA;SMURF1;CSE1L;NUP153;RANGAP1;XPO6;XPO5;TPR;HNRNPA1;RBM33
Endoplasmic Reticulum Organization (GO:0007029)	16/55	0.0020398592492518832	0.26734905285507493	0	0	2.618079675074494	16.21867493685106	STEEP1;TRAM1;JAGN1;RETREG3;ATL3;SEC16A;STX18;TOR1AIP2;TOR1B;RTN4;SHTN1;VCPIP1;BNIP1;GET1;GET4;SEC31A
Regulation of DNA Repair (GO:0006282)	30/130	0.0022275979986289083	0.2758106633494902	0	0	1.9176339285714286	11.71066709770275	H2AX;SMARCD2;PCNA;TFPT;ING3;KAT5;PPP4R2;ATXN7;VPS72;RUVBL1;UIMC1;DMAP1;TIGAR;PARP1;USP22;INO80;ARID1A;SIRT1;SUPT3H;UCHL5;PML;RNF168;RAD52;MORF4L1;MRGBP;UBE2N;TADA1;TAF6;TAF5;TAF2
Regulation of TORC1 Signaling (GO:1903432)	24/97	0.002235947199304403	0.2758106633494902	0	0	2.1001311895536503	12.81729037123459	SEC13;WDR59;USP4;SAR1B;USP32;SRC;CUL3;CLEC16A;OTUD7B;TSC1;YWHAZ;WDR24;FLCN;DEPTOR;RRAGB;RHEB;SESN1;AKT1S1;UBE2N;SMCR8;LAMTOR2;VHL;KPTN;OGT
Double-Strand Break Repair via Homologous Recombination (GO:0000724)	27/114	0.002436963323968236	0.29201783373493656	0	0	1.983046938069427	11.931998491296765	EXD2;MCM7;AP5Z1;FBH1;ZMYND8;NUCKS1;BRCA2;ZFYVE26;RECQL5;KAT5;SFR1;POGZ;LRIG3;GINS2;NSMCE1;HUS1;INO80;PALB2;RAD52;MORF4L1;MMS22L;RAD51C;POLR1B;UBE2N;MCM4;ERCC5;FAN1
Protein Modification by Small Protein Conjugation (GO:0032446)	61/316	0.002691090355079538	0.31351202636676617	0	0	1.532979108090357	9.071877303648087	ZNF451;FBH1;MAGEF1;KEAP1;FBXO24;ANKRD9;HERC3;NUB1;BTRC;SHPRH;RNF44;FBXW8;DTX3L;ARRDC1;NSMCE1;MSL2;RANGAP1;SENP2;SIRT1;TRPC4AP;PJA2;RNF168;CDC34;SDE2;CBLL1;CUL3;UBA5;DCUN1D4;DCUN1D2;FBXO45;HDAC7;VCPIP1;CAND1;UBB;RBBP6;VHL;ATG7;MARCHF3;TRPM4;RANBP2;UBE2I;CRBN;KLHL25;UBE2B;USP9X;PLK1;UBAC1;PML;KLHL20;CNOT4;COPS4;ITCH;RNF227;UVSSA;MKRN1;UBE2N;COPS8;LZTR1;TRIM33;NFE2L2;CUL4B
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	83/455	0.002887874568386217	0.32734448485977824	0	0	1.4318520332170328	8.372374594483317	PPP1R11;UBXN2A;MAGEF1;KEAP1;OTUD7B;UBE3B;FBXO22;ANKRD9;TRIM9;NUB1;PSMD6;HERC3;PSMD7;MAEA;KAT5;RNF19A;TRIM25;TRIM26;BTRC;UBL7;GET4;FBXW8;DTX3L;ARRDC1;VPS37C;RAD23A;ARMC8;SIRT1;KCTD5;TRPC4AP;RNF40;PJA2;PSMA5;RNF168;PSMA3;RNF125;CDC34;PSMA1;UBE2R2;CLOCK;VPS28;KLHL15;CUL3;KLHL17;RHOBTB3;FBXO45;KLHL12;BAG6;RMND5B;ZNRF1;SHARPIN;RNF216;PCBP2;SPOP;UBQLN1;RBBP6;TBL1X;VHL;SOCS4;UBL4A;ANKIB1;UBE2I;CRBN;KLHL25;UBE2B;USP9X;SMURF1;SIAH2;USP28;PML;KLHL20;CNOT4;NSFL1C;ITCH;PSMC4;RNF149;PSMC2;CHMP2B;UBE2N;CTNNB1;TRIP12;NFE2L2;RNF187
Regulation of DNA Metabolic Process (GO:0051052)	27/116	0.00316446010355768	0.34277312195791126	0	0	1.9382586148585172	11.156176256113513	SMG1;USP37;DSCC1;NUCKS1;HDAC8;TFPT;ATXN7;ORC3;RUVBL1;UIMC1;RBBP6;MPV17;USP22;NSMCE1;YLPM1;ESCO2;INO80;TERF2;SUPT3H;UCHL5;CCNA2;POLE3;UBE2N;TADA1;TAF6;TAF5;TAF2
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	22/89	0.0033771641216113124	0.34277312195791126	0	0	2.0966938305505116	11.931695290659793	SMG1;TUT7;PYM1;SAMD4A;UPF3A;MAGOHB;GSPT1;ZFP36L1;CNOT4;EXOSC10;XRN1;DHX34;CSDE1;EXOSC9;CNOT2;ZC3H12A;TUT1;EIF3E;DCP1A;EXOSC2;DIS3L2;DCP1B
mRNA Transcription by RNA Polymerase II (GO:0042789)	12/38	0.003416653868346112	0.34277312195791126	0	0	2.9432031383250896	16.714726129680233	THRB;TBP;TAF11;ZBTB1;RARA;TAF8;NCBP3;TAF6;TAF5;TAF3;TAF2;S100A10
Mitochondrial Gene Expression (GO:0140053)	24/100	0.003430043956224236	0.34277312195791126	0	0	2.0168796155198687	11.44615929890747	MRPS26;MRPS16;MRPS24;GFM2;MRPS14;MRPS23;MRPS34;MRPL16;MRPL38;MRPS18A;MRPL39;GATB;MRPL58;MRPS30;MRPS7;MRPL13;MRPL24;MRPL21;MRPS5;MRPL54;TBRG4;MRPL4;MRPL40;TFAM
Golgi Organization (GO:0007030)	29/128	0.003474940184299637	0.34277312195791126	0	0	1.8718497733001267	10.598746630514514	ATL3;UBXN2A;ATL2;SYNE1;ARHGAP21;VCPIP1;VPS51;FAM174B;TMED3;TMED7;CLASP1;RAB2B;COG8;COG7;FBXW8;COG5;PTGES2;SEC16A;PLK1;COG2;VRK1;LYSMD3;YWHAZ;GOLGA8B;NSFL1C;GOLPH3;TRIP11;OBSL1;BLZF1
Cilium Assembly (GO:0060271)	49/247	0.0038431369033146137	0.34277312195791126	0	0	1.584060916395124	8.80970147331457	DYNC2I1;DNAAF11;PTPDC1;WDR44;NUDCD3;PCM1;TBC1D31;NUDT19;CFAP46;CEP290;IFT56;SNAP29;FBXW8;OCRL;DYNLL1;BBS10;RILPL2;TMEM216;ALPK1;CEP20;SSX2IP;GAS8;CILK1;FBF1;DYNLT2B;CFAP206;HDAC6;IFT74;KIF3B;POC1A;POC1B;ATP6V1D;CFAP20;BBS2;PLK4;PTGES2;USP9X;IFT122;WDR11;EHD1;RPGRIP1;IFT22;TMEM237;KIAA0586;CEP83;HYLS1;B9D1;CEP41;CLUAP1
Intraciliary Transport Involved in Cilium Assembly (GO:0035735)	4/6	0.0040603425745589505	0.34277312195791126	0	0	12.733971997052322	70.11946311492488	IFT74;PCM1;IFT56;SSX2IP
Regulation of High Voltage-Gated Calcium Channel Activity (GO:1901841)	4/6	0.0040603425745589505	0.34277312195791126	0	0	12.733971997052322	70.11946311492488	CACNB3;CALM3;SRI;CALM1
Ribosomal Large Subunit Export From Nucleus (GO:0000055)	4/6	0.0040603425745589505	0.34277312195791126	0	0	12.733971997052322	70.11946311492488	NPM1;NMD3;NUP88;SDAD1
Selenocysteine Incorporation (GO:0001514)	4/6	0.0040603425745589505	0.34277312195791126	0	0	12.733971997052322	70.11946311492488	EEFSEC;SARS1;SECISBP2;TRNAU1AP
Translational Readthrough (GO:0006451)	4/6	0.0040603425745589505	0.34277312195791126	0	0	12.733971997052322	70.11946311492488	EEFSEC;SARS1;SECISBP2;TRNAU1AP
Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358)	9/25	0.004086470218859219	0.34277312195791126	0	0	3.5851328903654487	19.718495152579138	CCT2;RTEL1;HSP90AA1;DKC1;DHX36;CTNNB1;CCT8;CCT7;HNRNPA1
Protein Lipidation (GO:0006497)	9/25	0.004086470218859219	0.34277312195791126	0	0	3.5851328903654487	19.718495152579138	ZDHHC18;ZDHHC20;ATG16L1;ZDHHC5;ZDHHC6;ZDHHC7;SELENOK;ATG7;GLUL
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	16/59	0.004431621849566558	0.3574273468669643	0	0	2.373986538825676	12.86460849721002	MDC1;TIPIN;PLK1;HUS1;RPS27L;FBXO31;MUC1;MRNIP;TAOK3;POLR1B;CHEK1;UIMC1;SDE2;RAD9B;NEK11;RAD9A
Regulation of Embryonic Development (GO:0045995)	16/59	0.004431621849566558	0.3574273468669643	0	0	2.373986538825676	12.86460849721002	PHLDB1;INO80;UCHL5;BAG6;TFPT;ZZZ3;RACGAP1;RAB14;VPS72;RUVBL1;DHX36;MBIP;TRIP12;PLCB1;CLASP1;KAT14
Import Into Nucleus (GO:0051170)	19/75	0.004649143987292088	0.36196263700784465	0	0	2.165444873762769	11.630760686490344	NUP214;AKIRIN2;SEC13;NPM1;NUP188;CSE1L;STAT3;SIRT6;NUP153;RANBP6;TPR;BCL3;FAM53C;AKT1;NUP88;TNPO1;HNRNPA1;TNPO2;KPNB1
Electron Transport Chain (GO:0022900)	7/17	0.004740814578481841	0.36196263700784465	0	0	4.459756547399484	23.866593677071748	ENOX2;NDOR1;ETFDH;ETFRF1;ETFA;HCCS;PDIA5
Positive Regulation of Translation (GO:0045727)	25/108	0.004746768010355617	0.36196263700784465	0	0	1.9236619705707345	10.292151927211487	MPV17L2;NAT10;RPS27L;THBS1;RCC1L;FXR1;NGRN;DHX36;IGF2BP1;METTL8;EIF2B5;NPM1;PRKCH;METTL3;PYM1;SAMD4A;UPF3A;LARP4;PKM;CSDE1;BCL3;PLXNB2;EIF3E;CPEB3;OGT
Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001236)	17/65	0.005104659220590901	0.3767506055931407	0	0	2.2597957546587684	11.926301653491183	ACVR1;WWOX;TNFRSF12A;SRC;CAV1;SIAH2;TMC8;PARK7;CFLAR;THBS1;PML;DEPTOR;PHIP;PKN2;FADD;LTBR;AGXT
Modification-Dependent Protein Catabolic Process (GO:0019941)	42/208	0.005120358731237249	0.3767506055931407	0	0	1.6182938030147496	8.53574047134688	PPP1R11;KLHL15;CUL3;MAGEF1;KEAP1;FBXO45;UBE3B;FBXO22;BAG6;HERC3;NUB1;UBB;RNF19A;UBQLN1;TRIM25;RBBP6;BTRC;UBL7;GET4;UBL4A;ANKIB1;UBE2I;FBXW8;KLHL25;UBE2B;DTX3L;ARRDC1;SMURF1;SIAH2;TRPC4AP;RNF40;RNF168;CNOT4;NSFL1C;ITCH;CDC34;RNF125;UBE2R2;RNF149;PSMC2;TRIP12;PCYOX1
Macromolecule Methylation (GO:0043414)	9/26	0.005507154526356155	0.39822424281961577	0	0	3.374047293335939	17.55080612961372	SLC25A26;RBM15;PRMT2;CSKMT;METTL3;NSUN6;FAM98B;METTL21A;GSPT1
Response to Peptide Hormone (GO:0043434)	15/56	0.00652297015284698	0.4508527544509505	0	0	2.333585988468098	11.743597545800707	EIF2B5;EIF2B3;EIF2B2;SRC;STAT1;CAV1;TCF12;STAT3;MEAK7;TSC1;SIRT1;ZFP36L1;AKT1;EIF2B1;OGT
tRNA Methylation (GO:0030488)	11/36	0.00657308153016924	0.4508527544509505	0	0	2.804979682305135	14.09438484357577	TRMU;TRMT112;TRMT10A;TRMO;THUMPD3;WDR6;BCDIN3D;METTL6;NSUN6;METTL8;TRDMT1
RNA Biosynthetic Process (GO:0032774)	28/128	0.006712308015535973	0.4508527544509505	0	0	1.7884609665427509	8.949123198133528	ZCCHC8;THRB;DHX8;DDX20;BAZ2A;RSF1;PWP1;RBM4;EXOSC10;PABPN1;TAF1B;EXOSC9;EXOSC2;RBM5;RBM6;TBP;RNGTT;ELL3;REXO4;HNRNPL;SETX;HNRNPUL1;DKC1;TBPL1;MPHOSPH10;TAF6;HNRNPH3;TAF5
Negative Regulation of Proteasomal Protein Catabolic Process (GO:1901799)	13/46	0.006785460926604943	0.4508527544509505	0	0	2.5120371926286897	12.542534015515312	USP14;HSP90AB1;UBXN2A;USP9X;PARK7;FHIT;UCHL5;BAG6;PHF20L1;OPHN1;AQP11;OGT;METAP1
Negative Regulation of Nucleocytoplasmic Transport (GO:0046823)	7/18	0.006858680175044026	0.4508527544509505	0	0	4.054089400087187	20.198447386467954	NFKBIA;YWHAB;TPR;NUP153;SIRT6;PARK7;RANGAP1
Chromatin Organization (GO:0006325)	60/323	0.00687996573315709	0.4508527544509505	0	0	1.4607455218051824	7.2732588058744145	H2AX;FOXA1;KDM5B;KDM5C;CHD8;HP1BP3;PSIP1;RSF1;NUCKS1;VPS72;CHEK1;RUVBL1;BANF1;HMG20A;PRMT6;SS18;PRMT7;PRMT2;DDX11;NSMCE1;SIRT6;VRK1;HCFC2;BAZ1B;ARID1A;SIRT1;UCHL5;HCFC1;CFDP1;KAT6B;RAD54L2;HDGFL2;L3MBTL1;NAA60;HDAC2;SMARCD2;SRCAP;ZBTB1;BAZ2A;SPTY2D1;HDAC8;TFPT;HIRIP3;RBBP4;PCBP2;BRD9;DMAP1;MTA2;NPM1;PCGF6;SETDB1;SETDB2;ATAD2;NAP1L1;INO80;PML;GATAD2A;ZZZ3;POLE3;HDGF
Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573)	6/14	0.007077871042687468	0.4566860177389422	0	0	4.777101769911504	23.650390012044273	MDC1;TIPIN;HUS1;RAD9B;NEK11;RAD9A
Positive Regulation of TOR Signaling (GO:0032008)	18/73	0.007779702847705159	0.4943647536859915	0	0	2.0881212121212123	10.140411774571133	SEC13;WDR59;USP32;USP4;SRC;USP9X;CUL3;CLEC16A;OTUD7B;WDR24;FLCN;GOLPH3;RRAGB;RHEB;MLST8;SMCR8;LAMTOR2;OGT
Macromolecule Biosynthetic Process (GO:0009059)	38/189	0.008015439967292688	0.4981653509892378	0	0	1.6086240980527824	7.763840184971276	RPL30;MRPS16;RPL31;MRPS14;MRPS34;SRBD1;RPL36A;RPL10A;MRPL13;RPL6;GSPT1;RPS14;RPS16;MRPL40;RPL18A;RPL37;APOE;TSFM;RPL21;RPS8;RPL22;DHPS;MRPS18A;RPL13A;RPS3A;MRPS7;MRPL24;DARS1;MRPS5;TUFM;RPS26;SARS1;GOLPH3;RPL37A;RPL29;INHA;RSL24D1;EIF4G2
